status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.subsection_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,A new book about the Pech Valley in Afghanistan’s violent east offers poignant lessons as the Biden administration announces plans to withdraw all troops.,https://www.nytimes.com/2021/04/16/world/asia/afghanistan-forever-war.html,A new book about the Pech Valley in Afghanistan’s violent east offers poignant lessons as the Biden administration announces plans to withdraw all troops.,You’re reading this week’s At War newsletter. Sign up here to get it delivered to your inbox every Friday. Email us at atwar@nytimes.com.,The New York Times,2021-04-16T12:14:22+0000,article,Foreign,World,Asia Pacific,News,nyt://article/147367e1-8978-52aa-9ac4-1bfd40fa5cab,1251,nyt://article/147367e1-8978-52aa-9ac4-1bfd40fa5cab,NA,NA,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The Taliban have been recording and contesting every perceived U.S. violation of the troop withdrawal deal.,https://www.nytimes.com/2021/04/21/world/asia/afghanistan-taliban-spreadsheets.html,The Taliban have been recording and contesting every perceived U.S. violation of the troop withdrawal deal.,"DOHA, Qatar — In the twilight months of the United States’ war in Afghanistan, Americans fought the Taliban, not over fields or villages or hearts and minds, but over spreadsheets.",The New York Times,2021-04-21T09:00:27+0000,article,Foreign,World,Asia Pacific,News,nyt://article/149fec07-451c-5b92-af98-e564f95080da,1239,nyt://article/149fec07-451c-5b92-af98-e564f95080da,A,12,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The fatal stabbing of a policewoman at a station southwest of Paris was a fresh reminder of the constant terrorism threat in the country.,https://www.nytimes.com/2021/04/23/world/europe/france-terrorism-police-station.html,The fatal stabbing of a policewoman at a station southwest of Paris was a fresh reminder of the constant terrorism threat in the country.,PARIS — The French authorities opened a terrorism investigation on Friday after a knife-wielding assailant killed a police officer at a station about 25 miles southwest of Paris before being shot dead.,The New York Times,2021-04-23T17:20:40+0000,article,Foreign,World,Europe,News,nyt://article/15f0abc1-e56a-5df8-81e5-a4fbbbce83ad,698,nyt://article/15f0abc1-e56a-5df8-81e5-a4fbbbce83ad,A,13,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The journalists were filming a documentary about anti-poaching activities in the Western African nation with a well-known ranger when their convoy was ambushed.,https://www.nytimes.com/2021/04/27/world/africa/spanish-journalists-burkina-faso.html,The journalists were filming a documentary about anti-poaching activities in the Western African nation with a well-known ranger when their convoy was ambushed.,"Two Spanish journalists making a documentary about anti-poaching efforts and an Irish ranger were kidnapped and killed in Burkina Faso, according to the Spanish government and a wildlife conservation organization, following recent warnings by the authorities about a possible resurgence of attacks in the West African nation.",The New York Times,2021-04-27T14:14:27+0000,article,Foreign,World,Africa,News,nyt://article/16f69508-39bb-5c42-9494-1a3a46b3c779,1012,nyt://article/16f69508-39bb-5c42-9494-1a3a46b3c779,A,11,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"In Vancouver’s Downtown Eastside, health authorities have prioritized vaccinations for the homeless and other disadvantaged people to try to contain the pandemic.",https://www.nytimes.com/2021/04/23/world/canada/vancouver-covid-vaccine.html,"In Vancouver’s Downtown Eastside, health authorities have prioritized vaccinations for the homeless and other disadvantaged people to try to contain the pandemic.","As a foreign correspondent who returned to Canada in 2017 after three decades abroad, I envisioned the country as a prosperous idyll after covering sludge disasters in Eastern Europe, a war in the Caucasus and abject poverty in the Balkans.",The New York Times,2021-04-23T20:13:03+0000,article,Foreign,World,Canada,News,nyt://article/185d9cf8-272c-5375-a9ef-21f198bd7318,1201,nyt://article/185d9cf8-272c-5375-a9ef-21f198bd7318,NA,NA,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The Serena Hotel in Quetta, Pakistan, is frequented by foreign guests, including a high-level Chinese delegation that was staying there but not present when the explosion struck.",https://www.nytimes.com/2021/04/21/world/asia/pakistan-hotel-bombing-china-ambassador.html,"The Serena Hotel in Quetta, Pakistan, is frequented by foreign guests, including a high-level Chinese delegation that was staying there but not present when the explosion struck.","ISLAMABAD, Pakistan — A powerful explosion apparently from a suicide bomber struck the parking lot of a luxury hotel in southwestern Pakistan frequented by high-level guests on Wednesday, and officials said at least four people had been killed and 12 wounded. China’s ambassador to Pakistan may have missed the blast by mere minutes.",The New York Times,2021-04-21T23:12:40+0000,article,Foreign,World,Asia Pacific,News,nyt://article/18fb215c-7c53-56ac-81b8-5cd2ab1e8cb2,527,nyt://article/18fb215c-7c53-56ac-81b8-5cd2ab1e8cb2,NA,NA,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Russia’s massing of tanks and infantry along its southwestern border with Ukraine was meant to send a message, analysts say.",https://www.nytimes.com/2021/04/16/world/europe/russia-ukraine-troops.html,"Russia’s massing of tanks and infantry along its southwestern border with Ukraine was meant to send a message, analysts say.","MASLOVKA, Russia — Deep in a pine forest in southern Russia, military trucks, their silhouettes blurred by camouflage netting, appear through the trees. Soldiers in four-wheel-drive vehicles creep along rutted dirt roads. And outside a newly pitched tent camp, sentries, Kalashnikovs slung over their shoulders, pace back and forth.",The New York Times,2021-04-16T17:01:36+0000,article,Foreign,World,Europe,News,nyt://article/1aeec513-445d-5f83-b173-941919a9d0b3,1311,nyt://article/1aeec513-445d-5f83-b173-941919a9d0b3,A,1,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The far-right leader Marine Le Pen called for “hundreds of thousands of illegals” to be deported. Her message resonates after the fatal stabbing of a police officer on Friday.,https://www.nytimes.com/2021/04/24/world/europe/france-terrorism-far-right.html,The far-right leader Marine Le Pen called for “hundreds of thousands of illegals” to be deported. Her message resonates after the fatal stabbing of a police officer on Friday.,"PARIS — “Marine Le Pen does not have to say anything,” said Alain Frachon, a former editor of the French daily Le Monde. “Each time France is hit by terrorism, the extreme right benefits.”",The New York Times,2021-04-24T14:17:49+0000,article,Foreign,World,Europe,News,nyt://article/1ca742ce-f042-5158-8aac-78c54210519f,883,nyt://article/1ca742ce-f042-5158-8aac-78c54210519f,A,12,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The proposed bill, which would prevent intoxication being used as a basis for a plea of insanity, was prompted by a verdict allowing the killer of a Jewish woman to avoid trial.",https://www.nytimes.com/2021/04/26/world/europe/france-anti-semitic-killing-drugs.html,"The proposed bill, which would prevent intoxication being used as a basis for a plea of insanity, was prompted by a verdict allowing the killer of a Jewish woman to avoid trial.",PARIS — The French government plans to introduce a bill aimed at closing a legal loophole that allowed the man who killed a Jewish woman in an anti-Semitic frenzy in 2017 to escape trial because a court found that he was in a delirious state brought on by cannabis.,The New York Times,2021-04-26T18:09:07+0000,article,Foreign,World,Europe,News,nyt://article/1d339f75-adb9-58fc-8973-01471f477d24,644,nyt://article/1d339f75-adb9-58fc-8973-01471f477d24,A,11,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The violence broke out as an extremist Jewish supremacy group marched in the city, chanting, “Death to Arabs.”",https://www.nytimes.com/2021/04/23/world/middleeast/israelis-palestinians-clash-jerusalem-old-city.html,"The violence broke out as an extremist Jewish supremacy group marched in the city, chanting, “Death to Arabs.”","JERUSALEM — Clashes between Israelis and Palestinians erupted overnight in Jerusalem as hundreds of supporters of an extremist Jewish supremacy group staged a march, chanting “Death to Arabs,” near the Old City.",The New York Times,2021-04-23T12:26:30+0000,article,Foreign,World,Middle East,News,nyt://article/1d885b15-ad53-5ccd-aa76-db39b4e88653,757,nyt://article/1d885b15-ad53-5ccd-aa76-db39b4e88653,A,12,1546,10,35
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Finland, for the fourth consecutive year, topped a list of countries evaluated on the well-being of their inhabitants. “Really?” Finns ask.",https://www.nytimes.com/2021/04/20/world/europe/world-happiness-report-ranking.html,"Finland, for the fourth consecutive year, topped a list of countries evaluated on the well-being of their inhabitants. “Really?” Finns ask.","When governments around the world introduced coronavirus restrictions requiring people to stand two meters apart, jokes in Finland started circulating: “Why can’t we stick to the usual four meters?”",The New York Times,2021-04-20T09:30:06+0000,article,Express,World,Europe,News,nyt://article/1db19a28-6941-56c1-8593-ab4f77bc227a,863,nyt://article/1db19a28-6941-56c1-8593-ab4f77bc227a,NA,NA,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The British prime minister was able to take the moral high ground by opposing the breakaway European soccer league that proved to be highly unpopular with fans.,https://www.nytimes.com/2021/04/21/world/europe/soccer-super-league-britain-johnson.html,The British prime minister was able to take the moral high ground by opposing the breakaway European soccer league that proved to be highly unpopular with fans.,"LONDON — Fans loathed it, politicians opposed it and even Prince William warned of the damage it risked “to the game we love.”",The New York Times,2021-04-21T19:13:21+0000,article,Foreign,World,Europe,News,nyt://article/1ed51d60-f3b9-5f28-8571-9b03a230840c,1133,nyt://article/1ed51d60-f3b9-5f28-8571-9b03a230840c,A,10,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Mohammad Javad Zarif, the Iranian foreign minister, described a rivalry with a powerful and widely revered military leader, Qassim Suleimani.",https://www.nytimes.com/2021/04/25/world/middleeast/iran-suleimani-zarif.html,"Mohammad Javad Zarif, the Iranian foreign minister, described a rivalry with a powerful and widely revered military leader, Qassim Suleimani.","In a leaked audiotape that offers a glimpse into the behind-the-scenes power struggles of Iranian leaders, Foreign Minister Mohammad Javad Zarif said the Revolutionary Guards Corps call the shots, overruling many government decisions and ignoring advice.",The New York Times,2021-04-26T00:42:51+0000,article,Foreign,World,Middle East,News,nyt://article/20f82f51-9984-5fdf-9261-ddce33d066b9,1088,nyt://article/20f82f51-9984-5fdf-9261-ddce33d066b9,A,8,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Queen Elizabeth II is increasingly withdrawing to Windsor Castle, royal watchers say, while Prince Charles is stepping forward.",https://www.nytimes.com/2021/04/26/world/europe/prince-charles-queen-elizabeth-royal-family-uk.html,"Queen Elizabeth II is increasingly withdrawing to Windsor Castle, royal watchers say, while Prince Charles is stepping forward.","LONDON — Queen Elizabeth II turned 95 last week, four days after burying her husband, Prince Philip, and with him the partnership that guided Britain’s royal family for nearly 70 years. Now, as the queen faces the future alone, her son and heir, Prince Charles, is reshaping the family to carry on after her.",The New York Times,2021-04-26T16:03:33+0000,article,Foreign,World,Europe,News,nyt://article/229f60b5-0759-5b76-84dc-97eb29860707,1405,nyt://article/229f60b5-0759-5b76-84dc-97eb29860707,A,9,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The New York Times wants to understand what you have endured, and we want to know what you’re doing to comfort one another until India can return to its bustle and vibrancy.",https://www.nytimes.com/2021/04/28/world/asia/india-coronavirus-reader-stories.html,"The New York Times wants to understand what you have endured, and we want to know what you’re doing to comfort one another until India can return to its bustle and vibrancy.","India is in crisis. Infections and deaths are soaring. Coronavirus vaccines are in short supply. In some cities, fear and uncertainty have settled over its hushed streets and shuttered storefronts, heavy with the knowledge that the pandemic may worsen before it gets better. ",The New York Times,2021-04-28T15:43:28+0000,article,Photo,World,Asia Pacific,News,nyt://article/22f136c1-5e3e-5830-bfe9-68d10c8c2b74,144,nyt://article/22f136c1-5e3e-5830-bfe9-68d10c8c2b74,NA,NA,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"To the alarm of Jewish leaders, Sarah Halimi’s killer will go unpunished because of his mental state, brought on by cannabis, at the time of the crime.",https://www.nytimes.com/2021/04/17/world/europe/sarah-halimi-murder-trial.html,"To the alarm of Jewish leaders, Sarah Halimi’s killer will go unpunished because of his mental state, brought on by cannabis, at the time of the crime.",PARIS — The highest court in France has ruled that the man who killed a Jewish woman in 2017 in an anti-Semitic frenzy cannot stand trial because he was in a state of acute mental delirium brought on by his consumption of cannabis.,The New York Times,2021-04-17T16:47:45+0000,article,Foreign,World,Europe,News,nyt://article/230a2b8e-4fdb-583f-82f4-9e8f2aa9d37b,889,nyt://article/230a2b8e-4fdb-583f-82f4-9e8f2aa9d37b,A,12,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"Alassa Mfouapon was falsely accused by a German tabloid and a far-right leader of starting a violent protest. So he sued them, and won.",https://www.nytimes.com/2021/04/30/world/europe/refugee-germany-asylum-protest.html,"Alassa Mfouapon was falsely accused by a German tabloid and a far-right leader of starting a violent protest. So he sued them, and won.","GELSENKIRCHEN, Germany — The country’s largest-circulation tabloid called him the “scandal asylum seeker” and accused him (falsely) of entering the country illegally. People hacked his social media accounts and broadcast his location and personal information. A far-right political leader decried him as the “ringleader” of a violent protest, while another even suggested people like him would be a good reason to bring back the death penalty in Germany.",The New York Times,2021-04-30T12:09:47+0000,article,Foreign,World,Europe,News,nyt://article/254ec1ad-2347-5070-b306-e429e032951e,1337,nyt://article/254ec1ad-2347-5070-b306-e429e032951e,A,10,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"A video of the sailors singing went viral on social media, prompting many to infer a hidden meaning in the pop song’s lyrics.",https://www.nytimes.com/2021/04/27/world/asia/indonesia-submarine-song.html,"A video of the sailors singing went viral on social media, prompting many to infer a hidden meaning in the pop song’s lyrics.","Below deck on their submarine, Indonesian sailors crowded around a crewman with a guitar and crooned a pop song called “Till We Meet Again.”",The New York Times,2021-04-27T10:17:39+0000,article,Express,World,Asia Pacific,News,nyt://article/2820bb23-9891-5543-aa9b-f0bf9a64bf57,756,nyt://article/2820bb23-9891-5543-aa9b-f0bf9a64bf57,A,10,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,Tensions between protecting and capitalizing on the image of the famous Australian beach town have exploded over a new reality show.,https://www.nytimes.com/2021/05/01/world/australia/byron-bay-baes-netflix.html,Tensions between protecting and capitalizing on the image of the famous Australian beach town have exploded over a new reality show.,"BYRON BAY, Australia — The moral quandaries of life as an Instagram influencer in the famously idyllic town of Byron Bay are not lost on Ruby Tuesday Matthews.",The New York Times,2021-05-01T18:59:04+0000,article,Foreign,World,Australia,News,nyt://article/287c512c-be9b-5883-9767-f5d5a8447339,1216,nyt://article/287c512c-be9b-5883-9767-f5d5a8447339,A,10,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,The last request made by the submarine was for permission to descend to a deeper part of the Bali Sea.,https://www.nytimes.com/2021/04/21/world/asia/indonesian-navy-submarine-missing.html,The last request made by the submarine was for permission to descend to a deeper part of the Bali Sea.,"The last contact came at 3 a.m. on Wednesday. Then the Indonesian Navy submarine disappeared, somewhere deep in the dark waters off the island of Bali in the Pacific Ocean.",The New York Times,2021-04-21T18:38:24+0000,article,Foreign,World,Asia Pacific,News,nyt://article/2a259226-ef13-55ad-9752-895de3d7de1b,546,nyt://article/2a259226-ef13-55ad-9752-895de3d7de1b,NA,NA,1546,20,8
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"In China, she’s a symbol of women’s rights and a national hero. But Zhang Weili, who defends her U.F.C. title in Florida on Saturday, cares about just one label: champion.",https://www.nytimes.com/2021/04/23/world/asia/zhang-weili-ufc-china.html,"In China, she’s a symbol of women’s rights and a national hero. But Zhang Weili, who defends her U.F.C. title in Florida on Saturday, cares about just one label: champion.","Days before the bout to defend her championship title, Zhang Weili, China’s most famous mixed martial arts fighter, sensed that her opponent was trying to get under her skin.",The New York Times,2021-04-23T05:51:39+0000,article,Foreign,World,Asia Pacific,News,nyt://article/2c213310-1920-57f8-8193-76dfe7e40c80,1263,nyt://article/2c213310-1920-57f8-8193-76dfe7e40c80,B,8,1546,30,32
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,Germany’s Greens are expected to be a critical part of any new government. But these are not the Greens of old. Today it is a pragmatic party promising an assertive stance abroad.,https://www.nytimes.com/2021/04/17/world/europe/germany-green-party-merkel.html,Germany’s Greens are expected to be a critical part of any new government. But these are not the Greens of old. Today it is a pragmatic party promising an assertive stance abroad., Whatever government fills the vacuum in Germany after Chancellor Angela Merkel will be tinged with green.,The New York Times,2021-04-17T15:00:08+0000,article,Foreign,World,Europe,News,nyt://article/2c3c9e4e-2e12-59a1-a99f-49ec6d2679ed,1331,nyt://article/2c3c9e4e-2e12-59a1-a99f-49ec6d2679ed,A,9,1546,30,32
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"In an effort to fend off a challenge from the right, President Emmanuel Macron tries to frame a debate on two issues important to conservatives: the country’s “laïcité” model of secularism, and crime.",https://www.nytimes.com/2021/04/20/world/europe/france-secularism-laicite-macron.html,"In an effort to fend off a challenge from the right, President Emmanuel Macron tries to frame a debate on two issues important to conservatives: the country’s “laïcité” model of secularism, and crime.","PARIS — The French government on Tuesday initiated a wide-ranging public debate on France’s model of secularism, seeking to gain the upper hand on a contentious topic that has roiled the nation in recent months and is likely to be a battleground in a presidential election next year.",The New York Times,2021-04-20T18:18:47+0000,article,Foreign,World,Europe,News,nyt://article/2d4a8927-1c25-5016-99c1-c40daf876e0c,1211,nyt://article/2d4a8927-1c25-5016-99c1-c40daf876e0c,A,9,1546,30,32
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The relic of the deadliest shipwreck in the Mediterranean in living memory — in which some 1,000 migrants died — is being re-envisioned as a human rights monument.",https://www.nytimes.com/2021/04/20/world/europe/italy-migrant-deaths-ship.html,"The relic of the deadliest shipwreck in the Mediterranean in living memory — in which some 1,000 migrants died — is being re-envisioned as a human rights monument.","ROME — To most eyes, the scruffy, sun-faded ship that left Venice for Sicily last week might have looked like a junkyard-ready wreck.",The New York Times,2021-04-20T15:45:40+0000,article,Foreign,World,Europe,News,nyt://article/2e385232-b25f-5d84-b9f6-5df9e59131e9,1200,nyt://article/2e385232-b25f-5d84-b9f6-5df9e59131e9,NA,NA,1546,30,32
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,Human Rights Watch is the latest watchdog to accuse Israel of perpetuating a version of the racist legal system that once governed South Africa. Israel says the charge is baseless.,https://www.nytimes.com/2021/04/27/world/middleeast/israel-apartheid-palestinians-hrw.html,Human Rights Watch is the latest watchdog to accuse Israel of perpetuating a version of the racist legal system that once governed South Africa. Israel says the charge is baseless.,"JERUSALEM — When hundreds of rights groups gathering in South Africa in 2001 accused Israel of apartheid, some participants distanced themselves from the accusation.",The New York Times,2021-04-27T21:35:39+0000,article,Foreign,World,Middle East,News,nyt://article/2e751872-ea8a-59b2-98ca-024bffa8ec44,1450,nyt://article/2e751872-ea8a-59b2-98ca-024bffa8ec44,A,12,1546,30,32
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"In one of the most staggering Hong Kong phone cons, a 90-year-old woman was swindled over five months.",https://www.nytimes.com/2021/04/21/world/asia/hong-kong-phone-scam.html,"In one of the most staggering Hong Kong phone cons, a 90-year-old woman was swindled over five months.",HONG KONG — The ominous phone calls began last summer.,The New York Times,2021-04-21T07:15:22+0000,article,Business,World,Asia Pacific,News,nyt://article/2e7f27ee-dded-5682-a3cb-8dbd4a1135d3,859,nyt://article/2e7f27ee-dded-5682-a3cb-8dbd4a1135d3,B,4,1546,30,32
OK,Copyright (c) 2021 The New York Times Company. All Rights Reserved.,"The top American commander, Gen. Austin S. Miller, says he is often asked whether the Afghan forces are ready to fight the Taliban alone. His answer? ‘They must be ready.’",https://www.nytimes.com/2021/04/25/world/asia/usa-military-withdrawal-afghanistan.html,"The top American commander, Gen. Austin S. Miller, says he is often asked whether the Afghan forces are ready to fight the Taliban alone. His answer? ‘They must be ready.’","KABUL, Afghanistan — The U.S. military has begun its complete withdrawal from Afghanistan, the top American commander there said Sunday, marking what amounts to the beginning of the end of the United States’ nearly 20-year-old war in the country.",The New York Times,2021-04-25T14:20:03+0000,article,Foreign,World,Asia Pacific,News,nyt://article/2faed8aa-d412-5b56-a944-6d866cb39464,602,nyt://article/2faed8aa-d412-5b56-a944-6d866cb39464,A,9,1546,30,32
